taken from https://www.bfs.admin.ch/bfs/de/home/statistiken/bevoelkerung/geburten-todesfaelle/vornamen-schweiz.assetdetail.5946318.html
Ahaan	*	5
Ahad	*	9
Ahalya	7	*
Ahamed	*	12
Ahana	10	*
Aharan	*	3
Aharon	*	16
Ahash	*	14
Ahcene	*	13
Ahcène	*	13
Ahed	5	3
Ahferom	*	9
Ahforom	*	3
Ahgash	*	3
Ahil	*	6
Ahila	6	*
Ahilan	*	11
Ahileswary	3	*
Ahin	15	*
Ahlaam	4	*
Ahlam	81	*
Ahlame	4	*
Ahlem	41	*
Ahmad	*	1'089
Ahmadou	*	15
Ahmadreza	*	5
Ahmadshah	*	5
Ahmadullah	*	7
Ahmat	*	3
Ahmed	*	2'146
Ahmed-Amine	*	5
Ahmedije	9	*
Ahmedin	*	15
Ahmedina	3	*
Ahmer	*	4
Ahmet	*	1'793
Ahmetcan	*	9
Ahmethan	*	3
Ahmmad	*	3
Ahmo	*	13
Ahnaf	*	8
Aho	*	4
Ahoo	3	*
Ahou	22	*
Ahron	*	19
Ahsan	*	15
Ahsen	11	5
Ahsena	5	*
Ahti	*	5
Ahu	18	*
Ahuva	3	*
Ai	79	5
Aia	5	*
Aiad	*	3
Aiala	3	*
Aian	*	12
Aiana	11	*
Aicha	290	*
Aid	*	90
Aida	1'243	*
Aidan	4	335
Aidana	4	*
Aidar	*	4
Aidas	*	4
Aide	13	*
Aidee	4	*
Aideen	6	*
Aiden	3	193
Aidin	*	15
Aidy	3	*
Aiga	3	*
Aigerim	12	*
Aigul	9	*
Aihua	11	*
Aija	14	*
Aijan	6	*
Aijana	6	*
Aijla	5	*
Aijuan	3	*
Aik	*	6
Aika	14	*
Aikaterina	3	*
Aikaterini	171	*
Aiken	*	4
Aiko	45	12
Aila	129	*
Ailada	4	*
Ailan	*	7
Ailana	4	*
Ailani	4	*
Ailbhe	3	*
Aileen	392	*
Aileena	4	*
Aileene	3	*
Ailen	7	*
Aili	7	3
Ailin	43	*
Ailina	48	*
Ailine	14	*
Ailing	3	*
Ailis	5	*
Ailish	7	*
Ailsa	13	*
Ailton	*	14
Ailyn	21	*
Aimable	*	5
Aimad	*	4
Aiman	7	54
Aimar	*	13
Aimara	6	*
Aime	6	12
Aimee	92	*
Aimen	*	29
Aimeric	*	8
Aimery	*	5
Aimi	12	*
Aimie	14	*
Aimilia	7	*
Aimilios	*	4
Aimo	*	33
Aimone	*	7
Aimy	26	*
Aimé	5	194
Aimée	314	*
Ain	*	3
Aina	167	4
Ainagul	3	*
Ainara	63	*
Aine	8	*
Aingaran	*	7
Aingkaran	*	3
Ainhoa	185	*
Aini	3	*
Ainkaran	*	4
Aino	45	*
Ainoa	83	*
Ainoha	18	*
Ainsley	5	*
Ainur	7	*
Ainura	4	*
Aiola	5	*
Aiping	7	*
Aira	39	*
Aireen	3	*
Aires	*	66
Airi	14	*
Airin	9	*
Airon	*	4
Airton	*	4
Aisa	58	*
Aisatou	4	*
Aischa	98	*
Aische	6	*
Aise	16	*
Aisea	*	4
Aisha	563	*
Aishah	9	*
Aishat	6	*
Aishe	17	*
Aishi	4	*
Aishwarya	14	*
Aisling	18	*
Aislinn	13	*
Aisosa	*	4
Aissa	4	24
Aissam	*	7
Aissata	16	*
Aissatou	49	*
Aissatu	4	*
Aiste	12	*
Aistis	*	3
Aiswarya	5	*
Aita	97	*
Aitan	4	*
Aitana	60	*
Aitor	*	83
Aiva	4	*
Aivars	*	4
Aiven	*	8
Aivy	6	*
Aiwen	3	*
Aixa	7	*
Aiya	8	*
Aiyana	117	*
Aiysha	4	*
Aiza	21	*
Aizhan	11	*
Aja	17	*
Ajai	*	5
Ajala	3	*
Ajan	*	625
Ajana	190	*
Ajani	*	3
Ajanth	*	8
Ajantha	25	*
Ajanthan	*	35
Ajanthini	5	*
Ajar	*	6
Ajas	*	7
Ajay	*	90
Ajaz	*	7
Ajda	25	*
